"postId","commentId","content","timestamp","likeCount"
"Nj-cd3SXYII","UgyeMlLSF9FXC8FdtKp4AaABAg","Chị ơi có Hà Nội còn đổ nhiều. cây á","11/10/2025 12:11","0"
"Nj-cd3SXYII","Ugz5y2e3xqaGwQ1wNpJ4AaABAg","Ờ ha bữa trước tôi thấy cầu phú thọ bị sập mà 😮😮😮😮😮😮😮😮😮😮😮😮","12/10/2024 21:50","0"
"Nj-cd3SXYII","UgxEPBV5C3Taa0X9xeN4AaABAg","ai phú thọ điểm danh","12/10/2024 13:25","0"
"Nj-cd3SXYII","UgwUlnAoddDOWVdZP094AaABAg","Thương quá","28/09/2024 21:11","0"
"Nj-cd3SXYII","UgzpKtHXoeLujVJbLyt4AaABAg","Hà Giang là ở quê mình đó mong là quê mình đừng bị sập như vậy😢😢😢","08/10/2024 12:12","0"
"Nj-cd3SXYII","UgwDnoCjqOZxfPAt4794AaABAg","Thường niệm Phật luôn bình an","01/10/2024 20:56","0"
"Nj-cd3SXYII","UgzYHC87NibstJ1AY514AaABAg","Ở là nổ bị dại nhiều nhất","03/11/2024 15:16","0"
"Nj-cd3SXYII","UgxlfczqZn0sfBfEjHB4AaABAg","QUE EM O TYEN QUANG MONG BA NOI EM BINH AN :))","09/11/2024 20:05","0"
"9LPG5YcE7EA","UgyvU1638iIg-fuzVPJ4AaABAg","Cái mặt của zombie trong plan vs zombie 😂","16/09/2024 22:18","22"
"9LPG5YcE7EA","UgzUiGauJLNrxRNGQ4x4AaABAg","Em nhìn một cái là em sợ liền😢😢😢😢😢😢","08/09/2024 07:30","6"
"9LPG5YcE7EA","Ugyu-pYtW8lL5jVruD14AaABAg","Siêu bão yagi không
Siêu bão yeti đúng😂😂😂😂😂😂😂😂😂","30/10/2025 10:50","0"
"9LPG5YcE7EA","UgzBa1E69XzPgII3HnN4AaABAg","Nhìn y như cái mặt của con zombie trong plan and zombie quá","30/03/2025 10:17","0"
"9LPG5YcE7EA","UgxPf5NkfM5eBM8YtNB4AaABAg","Tui thấy giống mặt zombie tron plan vs zombie hơn","03/12/2024 19:18","0"
"9LPG5YcE7EA","Ugzm_9cA2kxsQXUcM_14AaABAg","Nhìn giống plant vs zombie","24/03/2025 15:56","0"
"9LPG5YcE7EA","UgzomwgvYPFD6ViVZq54AaABAg","nhìn gioonga tanjiro lúc hoá quỷ hơn","09/09/2024 19:02","0"
"9LPG5YcE7EA","UgxHuE0OBd5PDRmdDZR4AaABAg","Má nó có nguyên cái mặt mũi mắt miệng luôn trời","22/09/2024 07:14","0"
"9LPG5YcE7EA","Ugwams4IWdgSYoeD56l4AaABAg","Thấy giống mặt của con zombie trong plants vs zombie","12/09/2024 11:42","0"
"9LPG5YcE7EA","UgwQzRf1QjJeWysEWeR4AaABAg","Do bảo yagi mạnh mẽ quá","18/09/2024 14:41","6"
"9LPG5YcE7EA","Ugwr87891AW2EB7rvqJ4AaABAg","Hôm trước em chưa học lớp 2,có bão yagi thì yagi muốn làm nhà em ngập tràn nước yagi,thế là em sợ suýt _-đái-_ ra quần","25/12/2024 17:02","0"
"9LPG5YcE7EA","Ugxfyv6Q-xaTRCZnW7R4AaABAg","Yagi = yeti 😂😂😂","30/12/2024 06:26","0"
"9LPG5YcE7EA","UgwoGLpno-uch4N6xct4AaABAg","Sợ cái cấp độ của nó❌
Sợ cái hình dạng🟩","06/11/2025 17:46","0"
"9LPG5YcE7EA","Ugxux9ilJXJEk657GPh4AaABAg","Giống đầu lâu quá đi😮😮😮😮😮😮","14/11/2024 09:31","0"
"9LPG5YcE7EA","UgxmdOc_VClSCXxg9ZR4AaABAg","Sau này người ta sẽ gọi là thảm họa yagi😢😢😢😢😢😢😢","11/09/2024 10:05","0"
"9LPG5YcE7EA","Ugw2hrLasvzvHPWhL2t4AaABAg","Ai thấy nó giống zombie trong plants vs zombie","17/09/2024 12:05","0"
"9LPG5YcE7EA","UgwMOorXB6_crP1OEHB4AaABAg","Chắc chưa cả cái hôm Ý tôi chẳng ngủ được luôn ý mất điện cả đêm","22/12/2024 17:12","0"
"9LPG5YcE7EA","Ugw8MXxc7bFmelEdjP94AaABAg","Cơn bão số 3 đã đạt cấp 16,17 đẵ trở thành siêu bão nhà em","09/09/2024 10:09","1"
"9LPG5YcE7EA","UgyR_yxVcGFKBsw3pQx4AaABAg","Mặt của zombie trong pvz","22/09/2024 21:47","0"
"9LPG5YcE7EA","UgwOne5AsIop2roiu154AaABAg","Bảo yagi thật đáng sợ 😢😢😢","08/11/2024 17:31","0"
